Infinitive,извиня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,извиня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,извиня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,извиня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,извиня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,извиня́юсь
2nd Sing,извиня́ешься
3rd Sing,извиня́ется
1st Pl,извиня́емся
2nd Pl,извиня́етесь
3rd Pl,извиня́ются
Past M,извиня́лся
Past F,извиня́лась
Past N,извиня́лось
Past PL,извиня́лись
Imp S,извиня́йся
Imp PL,извиня́йтесь
