Infinitive,измельчи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,измельчи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,измельчённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,измельчи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,измельчи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,измельчу́
2nd Sing,измельчи́шь
3rd Sing,измельчи́т
1st Pl,измельчи́м
2nd Pl,измельчи́те
3rd Pl,измельча́т
Past M,измельчи́л
Past F,измельчи́ла
Past N,измельчи́ло
Past PL,измельчи́ли
Imp S,измельчи́
Imp PL,измельчи́те
