Infinitive,изловчи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изловчи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изловчи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,изловчу́сь
2nd Sing,изловчи́шься
3rd Sing,изловчи́тся
1st Pl,изловчи́мся
2nd Pl,изловчи́тесь
3rd Pl,изловча́тся
Past M,изловчи́лся
Past F,изловчи́лась
Past N,изловчи́лось
Past PL,изловчи́лись
Imp S,изловчи́сь
Imp PL,изловчи́тесь
