Infinitive,изра́нить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изра́нивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изра́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изра́нив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изра́нивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изра́ню
2nd Sing,изра́нишь
3rd Sing,изра́нит
1st Pl,изра́ним
2nd Pl,изра́ните
3rd Pl,изра́нят
Past M,изра́нил
Past F,изра́нила
Past N,изра́нило
Past PL,изра́нили
Imp S,изра́нь
Imp PL,изра́ньте
