Infinitive,изорва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изорва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изо́рванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изорва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изорва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изорву́
2nd Sing,изорвёшь
3rd Sing,изорвёт
1st Pl,изорвём
2nd Pl,изорвёте
3rd Pl,изорву́т
Past M,изорва́л
Past F,изорвала́
Past N,изорва́ло
Past PL,изорва́ли
Imp S,изорви́
Imp PL,изорви́те
