Infinitive,изъясня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изъясня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изъясня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изъясня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изъясня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изъясня́юсь
2nd Sing,изъясня́ешься
3rd Sing,изъясня́ется
1st Pl,изъясня́емся
2nd Pl,изъясня́етесь
3rd Pl,изъясня́ются
Past M,изъясня́лся
Past F,изъясня́лась
Past N,изъясня́лось
Past PL,изъясня́лись
Imp S,изъясня́йся
Imp PL,изъясня́йтесь
