Infinitive,издева́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,издева́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,издева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,издева́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,издева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,издева́юсь
2nd Sing,издева́ешься
3rd Sing,издева́ется
1st Pl,издева́емся
2nd Pl,издева́етесь
3rd Pl,издева́ются
Past M,издева́лся
Past F,издева́лась
Past N,издева́лось
Past PL,издева́лись
Imp S,издева́йся
Imp PL,издева́йтесь
