Infinitive,изве́дать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изве́давший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изве́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изве́дав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изве́давши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изве́даю
2nd Sing,изве́даешь
3rd Sing,изве́дает
1st Pl,изве́даем
2nd Pl,изве́даете
3rd Pl,изве́дают
Past M,изве́дал
Past F,изве́дала
Past N,изве́дало
Past PL,изве́дали
Imp S,изве́дай
Imp PL,изве́дайте
