Infinitive,изнуря́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изнуря́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изнуря́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изнуря́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изнуря́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,изнуря́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,изнуря́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,изнуря́ю
2nd Sing,изнуря́ешь
3rd Sing,изнуря́ет
1st Pl,изнуря́ем
2nd Pl,изнуря́ете
3rd Pl,изнуря́ют
Past M,изнуря́л
Past F,изнуря́ла
Past N,изнуря́ло
Past PL,изнуря́ли
Imp S,изнуря́й
Imp PL,изнуря́йте
