Infinitive,излечи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,излечи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изле́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,излечи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,излечи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,излечу́
2nd Sing,изле́чишь
3rd Sing,изле́чит
1st Pl,изле́чим
2nd Pl,изле́чите
3rd Pl,изле́чат
Past M,излечи́л
Past F,излечи́ла
Past N,излечи́ло
Past PL,излечи́ли
Imp S,излечи́
Imp PL,излечи́те
