Infinitive,изогну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изогну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изо́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изогну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изогну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изогну́
2nd Sing,изогнёшь
3rd Sing,изогнёт
1st Pl,изогнём
2nd Pl,изогнёте
3rd Pl,изогну́т
Past M,изогну́л
Past F,изогну́ла
Past N,изогну́ло
Past PL,изогну́ли
Imp S,изогни́
Imp PL,изогни́те
