Infinitive,изли́ть
Zaliznyak Class,11*b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изли́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изолью́
2nd Sing,изольёшь
3rd Sing,изольёт
1st Pl,изольём
2nd Pl,изольёте
3rd Pl,изолью́т
Past M,изли́л
Past F,излила́
Past N,изли́ло
Past PL,изли́ли
Imp S,изле́й
Imp PL,изле́йте
