Infinitive,изгото́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изгото́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изгото́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изгото́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изгото́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изгото́влю
2nd Sing,изгото́вишь
3rd Sing,изгото́вит
1st Pl,изгото́вим
2nd Pl,изгото́вите
3rd Pl,изгото́вят
Past M,изгото́вил
Past F,изгото́вила
Past N,изгото́вило
Past PL,изгото́вили
Imp S,изгото́вь
Imp PL,изгото́вьте
