Infinitive,изврати́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изврати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,извращённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изврати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изврати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,извращу́
2nd Sing,изврати́шь
3rd Sing,изврати́т
1st Pl,изврати́м
2nd Pl,изврати́те
3rd Pl,извратя́т
Past M,изврати́л
Past F,изврати́ла
Past N,изврати́ло
Past PL,изврати́ли
Imp S,изврати́
Imp PL,изврати́те
