Infinitive,избе́гнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,избе́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,избе́гнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,избе́гнутый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,избе́гнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,избе́гши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,избе́гну
2nd Sing,избе́гнешь
3rd Sing,избе́гнет
1st Pl,избе́гнем
2nd Pl,избе́гнете
3rd Pl,избе́гнут
Past M,избе́г
Past F,избе́гла
Past N,избе́гло
Past PL,избе́гли
Imp S,избе́гни
Imp PL,избе́гните
