Infinitive,изныва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,изныва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изныва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изныва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изныва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,изныва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,изныва́ю
2nd Sing,изныва́ешь
3rd Sing,изныва́ет
1st Pl,изныва́ем
2nd Pl,изныва́ете
3rd Pl,изныва́ют
Past M,изныва́л
Past F,изныва́ла
Past N,изныва́ло
Past PL,изныва́ли
Imp S,изныва́й
Imp PL,изныва́йте
