Infinitive,изба́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изба́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изба́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изба́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изба́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изба́влю
2nd Sing,изба́вишь
3rd Sing,изба́вит
1st Pl,изба́вим
2nd Pl,изба́вите
3rd Pl,изба́вят
Past M,изба́вил
Past F,изба́вила
Past N,изба́вило
Past PL,изба́вили
Imp S,изба́вь
Imp PL,изба́вьте
