Infinitive,изобрета́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изобрета́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изобрета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изобрета́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изобрета́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,изобрета́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,изобрета́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,изобрета́ю
2nd Sing,изобрета́ешь
3rd Sing,изобрета́ет
1st Pl,изобрета́ем
2nd Pl,изобрета́ете
3rd Pl,изобрета́ют
Past M,изобрета́л
Past F,изобрета́ла
Past N,изобрета́ло
Past PL,изобрета́ли
Imp S,изобрета́й
Imp PL,изобрета́йте
