Infinitive,изъе́здить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,изъе́здивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изъе́здив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,изъе́здивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,изъе́зжу
2nd Sing,изъе́здишь
3rd Sing,изъе́здит
1st Pl,изъе́здим
2nd Pl,изъе́здите
3rd Pl,изъе́здят
Past M,изъе́здил
Past F,изъе́здила
Past N,изъе́здило
Past PL,изъе́здили
Imp S,изъе́зди
Imp PL,изъе́здите
