Infinitive,изложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изло́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изложу́
2nd Sing,изло́жишь
3rd Sing,изло́жит
1st Pl,изло́жим
2nd Pl,изло́жите
3rd Pl,изло́жат
Past M,изложи́л
Past F,изложи́ла
Past N,изложи́ло
Past PL,изложи́ли
Imp S,изложи́
Imp PL,изложи́те
