Infinitive,избалова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,избалова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,избало́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,избалова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,избалова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,избалу́ю
2nd Sing,избалу́ешь
3rd Sing,избалу́ет
1st Pl,избалу́ем
2nd Pl,избалу́ете
3rd Pl,избалу́ют
Past M,избалова́л
Past F,избалова́ла
Past N,избалова́ло
Past PL,избалова́ли
Imp S,избалу́й
Imp PL,избалу́йте
