Infinitive,избра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,избра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,и́збранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,избра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,избра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изберу́
2nd Sing,изберёшь
3rd Sing,изберёт
1st Pl,изберём
2nd Pl,изберёте
3rd Pl,изберу́т
Past M,избра́л
Past F,избрала́
Past N,избра́ло
Past PL,избра́ли
Imp S,избери́
Imp PL,избери́те
