Infinitive,изуми́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изуми́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изуми́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,изумлю́сь
2nd Sing,изуми́шься
3rd Sing,изуми́тся
1st Pl,изуми́мся
2nd Pl,изуми́тесь
3rd Pl,изумя́тся
Past M,изуми́лся
Past F,изуми́лась
Past N,изуми́лось
Past PL,изуми́лись
Imp S,изуми́сь
Imp PL,изуми́тесь
