Infinitive,избира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,избира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,избира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,избира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,избира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,избира́юсь
2nd Sing,избира́ешься
3rd Sing,избира́ется
1st Pl,избира́емся
2nd Pl,избира́етесь
3rd Pl,избира́ются
Past M,избира́лся
Past F,избира́лась
Past N,избира́лось
Past PL,избира́лись
Imp S,избира́йся
Imp PL,избира́йтесь
