Infinitive,издава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,издаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,издава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,издава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,издава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,издаю́сь
2nd Sing,издаёшься
3rd Sing,издаётся
1st Pl,издаёмся
2nd Pl,издаётесь
3rd Pl,издаю́тся
Past M,издава́лся
Past F,издава́лась
Past N,издава́лось
Past PL,издава́лись
Imp S,издава́йся
Imp PL,издава́йтесь
