Infinitive,изголода́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изголода́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изголода́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,изголода́юсь
2nd Sing,изголода́ешься
3rd Sing,изголода́ется
1st Pl,изголода́емся
2nd Pl,изголода́етесь
3rd Pl,изголода́ются
Past M,изголода́лся
Past F,изголода́лась
Past N,изголода́лось
Past PL,изголода́лись
Imp S,изголода́йся
Imp PL,изголода́йтесь
