Infinitive,изгна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изгна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,и́згнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изгна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изгна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изгоню́
2nd Sing,изго́нишь
3rd Sing,изго́нит
1st Pl,изго́ним
2nd Pl,изго́ните
3rd Pl,изго́нят
Past M,изгна́л
Past F,изгнала́
Past N,изгна́ло
Past PL,изгна́ли
Imp S,изгони́
Imp PL,изгони́те
