Infinitive,изба́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изба́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изба́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,изба́влюсь
2nd Sing,изба́вишься
3rd Sing,изба́вится
1st Pl,изба́вимся
2nd Pl,изба́витесь
3rd Pl,изба́вятся
Past M,изба́вился
Past F,изба́вилась
Past N,изба́вилось
Past PL,изба́вились
Imp S,изба́вься
Imp PL,изба́вьтесь
