Infinitive,изму́чить
Zaliznyak Class,4a // 1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изму́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изму́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изму́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изму́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изму́чу
2nd Sing,изму́чишь
3rd Sing,изму́чит
1st Pl,изму́чим
2nd Pl,изму́чите
3rd Pl,изму́чат
Past M,изму́чил
Past F,изму́чила
Past N,изму́чило
Past PL,изму́чили
Imp S,изму́чь
Imp PL,изму́чьте
