Infinitive,изгота́вливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изгота́вливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изгота́вливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изгота́вливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изгота́вливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изгота́вливаюсь
2nd Sing,изгота́вливаешься
3rd Sing,изгота́вливается
1st Pl,изгота́вливаемся
2nd Pl,изгота́вливаетесь
3rd Pl,изгота́вливаются
Past M,изгота́вливался
Past F,изгота́вливалась
Past N,изгота́вливалось
Past PL,изгота́вливались
Imp S,изгота́вливайся
Imp PL,изгота́вливайтесь
