Infinitive,изготовля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изготовля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изготовля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изготовля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изготовля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изготовля́юсь
2nd Sing,изготовля́ешься
3rd Sing,изготовля́ется
1st Pl,изготовля́емся
2nd Pl,изготовля́етесь
3rd Pl,изготовля́ются
Past M,изготовля́лся
Past F,изготовля́лась
Past N,изготовля́лось
Past PL,изготовля́лись
Imp S,изготовля́йся
Imp PL,изготовля́йтесь
