Infinitive,изрыга́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изрыга́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изрыга́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изрыга́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изрыга́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,изрыга́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,изрыга́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,изрыга́ю
2nd Sing,изрыга́ешь
3rd Sing,изрыга́ет
1st Pl,изрыга́ем
2nd Pl,изрыга́ете
3rd Pl,изрыга́ют
Past M,изрыга́л
Past F,изрыга́ла
Past N,изрыга́ло
Past PL,изрыга́ли
Imp S,изрыга́й
Imp PL,изрыга́йте
