Infinitive,изготовля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изготовля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изготовля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изготовля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изготовля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,изготовля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,изготовля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,изготовля́ю
2nd Sing,изготовля́ешь
3rd Sing,изготовля́ет
1st Pl,изготовля́ем
2nd Pl,изготовля́ете
3rd Pl,изготовля́ют
Past M,изготовля́л
Past F,изготовля́ла
Past N,изготовля́ло
Past PL,изготовля́ли
Imp S,изготовля́й
Imp PL,изготовля́йте
