Infinitive,извива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,извива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,извива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,извива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,извива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,извива́юсь
2nd Sing,извива́ешься
3rd Sing,извива́ется
1st Pl,извива́емся
2nd Pl,извива́етесь
3rd Pl,извива́ются
Past M,извива́лся
Past F,извива́лась
Past N,извива́лось
Past PL,извива́лись
Imp S,извива́йся
Imp PL,извива́йтесь
