Infinitive,извая́ть
Zaliznyak Class,1a // 1a⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,извая́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изва́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,извая́нный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,извая́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,извая́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,извая́ю
2nd Sing,извая́ешь
3rd Sing,извая́ет
1st Pl,извая́ем
2nd Pl,извая́ете
3rd Pl,извая́ют
Past M,извая́л
Past F,извая́ла
Past N,извая́ло
Past PL,извая́ли
Imp S,извая́й
Imp PL,извая́йте
