Infinitive,изнемога́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,изнемога́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изнемога́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изнемога́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изнемога́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,изнемога́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,изнемога́ю
2nd Sing,изнемога́ешь
3rd Sing,изнемога́ет
1st Pl,изнемога́ем
2nd Pl,изнемога́ете
3rd Pl,изнемога́ют
Past M,изнемога́л
Past F,изнемога́ла
Past N,изнемога́ло
Past PL,изнемога́ли
Imp S,изнемога́й
Imp PL,изнемога́йте
