Infinitive,изме́рить
Zaliznyak Class,4a // 1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изме́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изме́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изме́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изме́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изме́рю
2nd Sing,изме́ришь
3rd Sing,изме́рит
1st Pl,изме́рим
2nd Pl,изме́рите
3rd Pl,изме́рят
Past M,изме́рил
Past F,изме́рила
Past N,изме́рило
Past PL,изме́рили
Imp S,изме́рь
Imp PL,изме́рьте
