Infinitive,туши́ть
Zaliznyak Class,4c④
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ту́шащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,туши́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,туши́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ту́шенный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,туша́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,туши́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,туши́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,тушу́
2nd Sing,ту́шишь
3rd Sing,ту́шит
1st Pl,ту́шим
2nd Pl,ту́шите
3rd Pl,ту́шат
Past M,туши́л
Past F,туши́ла
Past N,туши́ло
Past PL,туши́ли
Imp S,туши́
Imp PL,туши́те
