Infinitive,тускне́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,тускне́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тускне́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тускне́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тускне́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,тускне́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,тускне́ю
2nd Sing,тускне́ешь
3rd Sing,тускне́ет
1st Pl,тускне́ем
2nd Pl,тускне́ете
3rd Pl,тускне́ют
Past M,тускне́л
Past F,тускне́ла
Past N,тускне́ло
Past PL,тускне́ли
Imp S,тускне́й
Imp PL,тускне́йте
