Infinitive,ту́житься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ту́жащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ту́жившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ту́жась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ту́жившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ту́жусь
2nd Sing,ту́жишься
3rd Sing,ту́жится
1st Pl,ту́жимся
2nd Pl,ту́житесь
3rd Pl,ту́жатся
Past M,ту́жился
Past F,ту́жилась
Past N,ту́жилось
Past PL,ту́жились
Imp S,ту́жься
Imp PL,ту́жьтесь
