Infinitive,тушева́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тушу́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тушева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тушу́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тушева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тушу́юсь
2nd Sing,тушу́ешься
3rd Sing,тушу́ется
1st Pl,тушу́емся
2nd Pl,тушу́етесь
3rd Pl,тушу́ются
Past M,тушева́лся
Past F,тушева́лась
Past N,тушева́лось
Past PL,тушева́лись
Imp S,тушу́йся
Imp PL,тушу́йтесь
