Infinitive,ши́риться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ши́рящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ши́рившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ши́рясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ши́рившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ши́рюсь
2nd Sing,ши́ришься
3rd Sing,ши́рится
1st Pl,ши́римся
2nd Pl,ши́ритесь
3rd Pl,ши́рятся
Past M,ши́рился
Past F,ши́рилась
Past N,ши́рилось
Past PL,ши́рились
Imp S,ши́рься
Imp PL,ши́рьтесь
