Infinitive,скопи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скопи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ско́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скопи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скопи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скоплю́
2nd Sing,ско́пишь
3rd Sing,ско́пит
1st Pl,ско́пим
2nd Pl,ско́пите
3rd Pl,ско́пят
Past M,скопи́л
Past F,скопи́ла
Past N,скопи́ло
Past PL,скопи́ли
Imp S,скопи́
Imp PL,скопи́те
