Infinitive,ски́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ски́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ски́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ски́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ски́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ски́ну
2nd Sing,ски́нешь
3rd Sing,ски́нет
1st Pl,ски́нем
2nd Pl,ски́нете
3rd Pl,ски́нут
Past M,ски́нул
Past F,ски́нула
Past N,ски́нуло
Past PL,ски́нули
Imp S,ски́нь
Imp PL,ски́ньте
