Infinitive,скрепи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скрепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скреплённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скрепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скрепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скреплю́
2nd Sing,скрепи́шь
3rd Sing,скрепи́т
1st Pl,скрепи́м
2nd Pl,скрепи́те
3rd Pl,скрепя́т
Past M,скрепи́л
Past F,скрепи́ла
Past N,скрепи́ло
Past PL,скрепи́ли
Imp S,скрепи́
Imp PL,скрепи́те
