Infinitive,скры́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,скры́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скры́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,скро́юсь
2nd Sing,скро́ешься
3rd Sing,скро́ется
1st Pl,скро́емся
2nd Pl,скро́етесь
3rd Pl,скро́ются
Past M,скры́лся
Past F,скры́лась
Past N,скры́лось
Past PL,скры́лись
Imp S,скро́йся
Imp PL,скро́йтесь
