Infinitive,скача́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скача́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ска́чанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скача́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скача́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скача́ю
2nd Sing,скача́ешь
3rd Sing,скача́ет
1st Pl,скача́ем
2nd Pl,скача́ете
3rd Pl,скача́ют
Past M,скача́л
Past F,скача́ла
Past N,скача́ло
Past PL,скача́ли
Imp S,скача́й
Imp PL,скача́йте
