Infinitive,скри́пнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,скри́пнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скри́пнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,скри́пнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,скри́пну
2nd Sing,скри́пнешь
3rd Sing,скри́пнет
1st Pl,скри́пнем
2nd Pl,скри́пнете
3rd Pl,скри́пнут
Past M,скри́пнул
Past F,скри́пнула
Past N,скри́пнуло
Past PL,скри́пнули
Imp S,скри́пни
Imp PL,скри́пните
