Infinitive,сканда́лить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сканда́лящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сканда́ливший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сканда́ля
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сканда́лив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сканда́ливши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сканда́лю
2nd Sing,сканда́лишь
3rd Sing,сканда́лит
1st Pl,сканда́лим
2nd Pl,сканда́лите
3rd Pl,сканда́лят
Past M,сканда́лил
Past F,сканда́лила
Past N,сканда́лило
Past PL,сканда́лили
Imp S,сканда́ль
Imp PL,сканда́льте
