Infinitive,скра́шивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скра́шивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скра́шивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скра́шиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скра́шивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,скра́шивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,скра́шивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,скра́шиваю
2nd Sing,скра́шиваешь
3rd Sing,скра́шивает
1st Pl,скра́шиваем
2nd Pl,скра́шиваете
3rd Pl,скра́шивают
Past M,скра́шивал
Past F,скра́шивала
Past N,скра́шивало
Past PL,скра́шивали
Imp S,скра́шивай
Imp PL,скра́шивайте
