Infinitive,скла́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,скла́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скла́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скла́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скла́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скла́дываюсь
2nd Sing,скла́дываешься
3rd Sing,скла́дывается
1st Pl,скла́дываемся
2nd Pl,скла́дываетесь
3rd Pl,скла́дываются
Past M,скла́дывался
Past F,скла́дывалась
Past N,скла́дывалось
Past PL,скла́дывались
Imp S,скла́дывайся
Imp PL,скла́дывайтесь
