Infinitive,скома́ндовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скома́ндовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скома́ндованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скома́ндовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скома́ндовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скома́ндую
2nd Sing,скома́ндуешь
3rd Sing,скома́ндует
1st Pl,скома́ндуем
2nd Pl,скома́ндуете
3rd Pl,скома́ндуют
Past M,скома́ндовал
Past F,скома́ндовала
Past N,скома́ндовало
Past PL,скома́ндовали
Imp S,скома́ндуй
Imp PL,скома́ндуйте
