Infinitive,сконча́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сконча́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сконча́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сконча́юсь
2nd Sing,сконча́ешься
3rd Sing,сконча́ется
1st Pl,сконча́емся
2nd Pl,сконча́етесь
3rd Pl,сконча́ются
Past M,сконча́лся
Past F,сконча́лась
Past N,сконча́лось
Past PL,сконча́лись
Imp S,сконча́йся
Imp PL,сконча́йтесь
