Infinitive,скро́мничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,скро́мничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скро́мничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скро́мничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скро́мничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,скро́мничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,скро́мничаю
2nd Sing,скро́мничаешь
3rd Sing,скро́мничает
1st Pl,скро́мничаем
2nd Pl,скро́мничаете
3rd Pl,скро́мничают
Past M,скро́мничал
Past F,скро́мничала
Past N,скро́мничало
Past PL,скро́мничали
Imp S,скро́мничай
Imp PL,скро́мничайте
