Infinitive,скриви́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,скриви́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скриви́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,скривлю́сь
2nd Sing,скриви́шься
3rd Sing,скриви́тся
1st Pl,скриви́мся
2nd Pl,скриви́тесь
3rd Pl,скривя́тся
Past M,скриви́лся
Past F,скриви́лась
Past N,скриви́лось
Past PL,скриви́лись
Imp S,скриви́сь
Imp PL,скриви́тесь
