Infinitive,скопи́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скопи́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скопи́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скопи́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скопи́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скопи́рую
2nd Sing,скопи́руешь
3rd Sing,скопи́рует
1st Pl,скопи́руем
2nd Pl,скопи́руете
3rd Pl,скопи́руют
Past M,скопи́ровал
Past F,скопи́ровала
Past N,скопи́ровало
Past PL,скопи́ровали
Imp S,скопи́руй
Imp PL,скопи́руйте
