Infinitive,скомпромети́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скомпромети́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скомпромети́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скомпромети́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скомпромети́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скомпромети́рую
2nd Sing,скомпромети́руешь
3rd Sing,скомпромети́рует
1st Pl,скомпромети́руем
2nd Pl,скомпромети́руете
3rd Pl,скомпромети́руют
Past M,скомпромети́ровал
Past F,скомпромети́ровала
Past N,скомпромети́ровало
Past PL,скомпромети́ровали
Imp S,скомпромети́руй
Imp PL,скомпромети́руйте
