Infinitive,склони́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,склони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,склонённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,склони́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,склони́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,склоню́
2nd Sing,скло́нишь
3rd Sing,скло́нит
1st Pl,скло́ним
2nd Pl,скло́ните
3rd Pl,скло́нят
Past M,склони́л
Past F,склони́ла
Past N,склони́ло
Past PL,склони́ли
Imp S,склони́
Imp PL,склони́те
