Infinitive,скрежета́ть
Zaliznyak Class,6c(-щ-)
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,скреже́щущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скрежета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скрежеща́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скрежета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,скрежета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,скрежещу́
2nd Sing,скреже́щешь
3rd Sing,скреже́щет
1st Pl,скреже́щем
2nd Pl,скреже́щете
3rd Pl,скреже́щут
Past M,скрежета́л
Past F,скрежета́ла
Past N,скрежета́ло
Past PL,скрежета́ли
Imp S,скрежещи́
Imp PL,скрежещи́те
