Infinitive,сконцентри́роваться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сконцентри́ровавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сконцентри́ровавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сконцентри́руюсь
2nd Sing,сконцентри́руешься
3rd Sing,сконцентри́руется
1st Pl,сконцентри́руемся
2nd Pl,сконцентри́руетесь
3rd Pl,сконцентри́руются
Past M,сконцентри́ровался
Past F,сконцентри́ровалась
Past N,сконцентри́ровалось
Past PL,сконцентри́ровались
Imp S,сконцентри́руйся
Imp PL,сконцентри́руйтесь
