Infinitive,скрести́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,скрести́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скрести́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,скрещу́сь
2nd Sing,скрести́шься
3rd Sing,скрести́тся
1st Pl,скрести́мся
2nd Pl,скрести́тесь
3rd Pl,скрестя́тся
Past M,скрести́лся
Past F,скрести́лась
Past N,скрести́лось
Past PL,скрести́лись
Imp S,скрести́сь
Imp PL,скрести́тесь
