Infinitive,ско́рчиться
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ско́рчившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ско́рчившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ско́рчусь
2nd Sing,ско́рчишься
3rd Sing,ско́рчится
1st Pl,ско́рчимся
2nd Pl,ско́рчитесь
3rd Pl,ско́рчатся
Past M,ско́рчился
Past F,ско́рчилась
Past N,ско́рчилось
Past PL,ско́рчились
Imp S,ско́рчись
Imp PL,ско́рчитесь
