Infinitive,скра́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скра́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скра́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скра́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скра́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скра́шу
2nd Sing,скра́сишь
3rd Sing,скра́сит
1st Pl,скра́сим
2nd Pl,скра́сите
3rd Pl,скра́сят
Past M,скра́сил
Past F,скра́сила
Past N,скра́сило
Past PL,скра́сили
Imp S,скра́сь
Imp PL,скра́сьте
