Infinitive,сконцентри́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сконцентри́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сконцентри́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сконцентри́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сконцентри́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сконцентри́рую
2nd Sing,сконцентри́руешь
3rd Sing,сконцентри́рует
1st Pl,сконцентри́руем
2nd Pl,сконцентри́руете
3rd Pl,сконцентри́руют
Past M,сконцентри́ровал
Past F,сконцентри́ровала
Past N,сконцентри́ровало
Past PL,сконцентри́ровали
Imp S,сконцентри́руй
Imp PL,сконцентри́руйте
